Search Term,Paper title,Database, DOI link
Machine learning for attention disorders,"Early detection of paediatric and adolescent obsessive–compulsive, separation anxiety and attention deficit hyperactivity disorder using machine learning algorithms",Google Scholar,https://doi.org/10.1007/s13755-023-00232-z
Machine learning for attention disorders,"Comparison of Machine Learning predictive methods to diagnose the Attention Deficit/Hyperactivity Disorder levels using SPECT
",Google Scholar,https://doi.org/10.33448/rsd-v11i8.31258
Machine learning for attention disorders,A Review of Machine Learning and Deep Learning Approaches on Mental Health Diagnosis,Google Scholar,https://doi.org/10.3390/healthcare11030285
Machine learning for attention disorders,Leveraging Machine Learning to Identify Predictors of Receiving Psychosocial Treatment for Attention Deficit/Hyperactivity Disorder,Google Scholar,https://doi.org/10.1007/s10488-020-01045-y
Machine learning for attention disorders,"Machine Learning Prediction of ADHD Severity: Association and Linkage to ADGRL3, DRD4, and SNAP25
 ",Google Scholar,https://doi.org/10.1177/10870547211015426
Machine learning for attention disorders,"Prediction of Attention Deficit Hyperactivity Disorder Using Machine Learning Models
",IEEE Xplore,https://doi.org/10.1109/AIIoT58432.2024.10574571
Machine learning for attention disorders,Classification of Attention Deficit Hyperactivity Disorder using Machine Learning,IEEE Xplore,http://doi.org/10.1109/FABS52071.2021.9702614
Machine learning for attention disorders,Comprehensive Analysis of Attention Deficit/Hyperactivity Disorder using Machine Learning and Deep Learning Algorithms,IEEE Xplore,http://doi.org/10.1109/tccn.2024.3431889
Machine learning for attention disorders,Prediction of Attention Deficit Hyperactivity Disorder (ADHD) using machine learning Techniques based on classification of EEG signal,IEEE Xplore,http://doi.org/10.1109/ICACCS54159.2022.9785356
Machine learning for attention disorders,A Review on Recent Machine Learning Applications for Addiction Disorders,IEEE Xplore,http://doi.org/10.1109/PAIS56586.2022.9946888
Machine learning for attention disorders,Predictive Analysis of Autism Spectrum Disorder (ASD) using Machine Learning,IEEE Xplore,https://doi.org/10.1109/FIT53504.2021.00063
Machine learning for attention disorders,Classification of Attention Deficit Hyperactivity Disorder Using Machine Learning,IEEE Xplore,https://doi.org/10.1109/GCAT55367.2022.9971947
Machine learning for attention disorders,A Review of Mental Health Analysis Through Social Media Using Machine Learning and Deep Learning Approaches,IEEE Xplore,https://doi.org/10.1109/ICECT61618.2024.10581373
Machine learning for attention disorders,A Machine Learning-Based Monitoring System for Attention and Stress Detection for Children with Autism Spectrum Disorders,"ACM Digital Library
",https://doi.org/10.1145/3484377.3484381
Machine learning for attention disorders,XAI Reveals the Causes of Attention Deficit Hyperactivity Disorder (ADHD) Bias in Student Performance Prediction,ACM Digital Library,https://doi.org/10.1145/3706468.3706521
Machine learning for attention disorders,Predicting non-suicidal self-injury behavior among adolescents with depressive disorders: a comparative study based on different machine learning methods,ACM Digital Library,https://doi.org/10.1145/3635175.3635209
Machine learning for attention disorders,A systematic literature review of machine learning techniques for the detection of attention-deficit/hyperactivity disorder using MRI and/or EEG data,ScienceDirect,https://doi.org/10.1016/j.neuroscience.2025.02.019
Machine learning for attention disorders,Machine-learning-based feature selection to identify attention-deficit hyperactivity disorder using whole-brain white matter microstructure: A longitudinal study,ScienceDirect,https://doi.org/10.1016/j.ajp.2024.104087
Machine learning for attention disorders,Characterization of attentional event-related potential from REM sleep behavior disorder patients based on explainable machine learning,ScienceDirect,https://doi.org/10.1016/j.cmpb.2023.107496
Machine learning for attention disorders,"Developing a machine learning model for detecting depression, anxiety, and apathy in older adults with mild cognitive impairment using speech and facial expressions: A cross-sectional observational study",PubMed,http://doi.org/10.1016/j.ijnurstu.2023.104562
Machine learning for attention disorders,"Machine Learning for Predicting Cognitive Diseases: Methods, Data Sources and Risk Factors",PubMed,https://doi.org/10.1007/s10916-018-1071-x
AI-powered assessment of attention deficits,"Revolutionizing attention deficit hyperactivity disorder with artificial intelligence
",Google Scholar,https://doi.org/10.1371/journal.pmen.0000181
AI-powered assessment of attention deficits,"Exploring the Efficacy of Robotic Assistants with ChatGPT and Claude in Enhancing ADHD Therapy: Innovating Treatment Paradigms
",Google Scholar,https://doi.org/10.1109/IE61493.2024.10599903
AI-powered assessment of attention deficits,"AI-powered Language Assessment Tools for Dementia
",Google Scholar,https://doi.org/10.48550/arXiv.2209.12652
AI-powered assessment of attention deficits,Leveraging AI in E-Learning: Personalized Learning and Adaptive Assessment through Cognitive Neuropsychology—A Systematic Analysis,Google Scholar,https://doi.org/10.3390/electronics13183762c
