Search Term,Paper Title,Database,DOI link
Cognitive focus on deep learning,Shifting Focus with HCEye: Exploring the Dynamics of Visual Highlighting and Cognitive Load on User Attention and Saliency Prediction,ACM Digital Library,https://doi.org/10.1145/365561
Cognitive focus on deep learning,Localization of the Epileptic Focus using Multi-scale Deep Learning,ACM Digital Library,https://doi.org/10.1145/3484377.3484380
Cognitive focus on deep learning,An optimal approach for predicting cognitive performance in education based on deep learning,Science Direct,https://doi.org/10.1016/j.chb.2025.108607
Using Artificial Intelligence models for detecting focus,Artificial Intelligence in Healthcare Systems,IEEE Xplore,https://doi.org/10.1109/MCSoC64144.2024.00019
Using Artificial Intelligence models for detecting focus,Determining Important Features for First-Year Student Dropouts Using Artificial Intelligence Algorithms,IEEE Xplore,https://doi.org/10.1109/WAIE63876.2024.00030
Using Artificial Intelligence models for detecting focus,Detecting Focus of Attention,Google Scholar,https://doi.org/10.1007/3-540-68755-6_3
Using Artificial Intelligence models for detecting focus,Predicting Level of Visual Focus of Humans Attention Using Machine Learning Approaches,Google Scholar,https://doi.org/10.1007/978-981-33-4673-4_56
Using Artificial Intelligence models for detecting focus, Artificial Intelligence and Home Music Listening_An Overview And Future Directions,ACM Digital Library,https://doi.org/10.1145/3678299.3678330
Using AI/ML for attention measurement,Addressing the Limitations of AI/ML in creating Cognitive Solutions,IEEE Xplore,https://doi.org/10.1109/CogMI52975.2021.00033
Using AI/ML for attention measurement,The Digital Attention Heuristics: Supporting the Users Attention by Design,ACM Digital Library,https://doi.org/10.1145/3725215]
Using AI/ML for attention measurement,"Machine learning for cognitive behavioral analysis: datasets, methods, paradigms, and research directions",Google Scholar,https://doi.org/10.1186/s40708-023-00196-6
Analysis attention using neural network,Attention-based sentiment analysis using convolutional and recurrent neural network,Science Direct,https://doi.org/10.1016/j.future.2020.07.022
Analysis attention using neural network,Understanding More About Human and Machine Attention in Deep Neural Networks,IEEE Xplore,https://doi.org/10.1109/TMM.2020.3007321
Analysis attention using neural network,"Attention, please! A survey of neural attention models in deep learning",Google Scholar,https://doi.org/10.1007/s10462-022-10148-x
Analysis attention using neural network,Artificial Intelligence-Based Analysis of Biological Signals and Attention Assessment Methods,ACM Digital Library,https://doi.org/10.1145/3689299.3689314
Analysis attention using neural network,A Local Attention-based Neural Networks for Abstractive Text Summarization,ACM Digital Library,https://doi.org/10.1145/3588155.3588180
Analysis attention using neural network,Emotion Analysis Based on Neural Network under the Big Data Environment,PubMed,https://doi.org/10.1155/2022/7123079
Analysis attention using neural network,Attention mechanism based neural networks for structural post-earthquake damage state prediction and rapid fragility analysis,Science Direct,https://doi.org/10.1016/j.compstruc.2023.107038
Analysis attention using neural network,Attention Based Graph Neural Networks,IEEE Xplore,https://doi.org/10.1109/SEAI59139.2023.10217656
Analysis attention using neural network,Aspect Level Sentiment Classification with Attention-over-Attention Neural Networks,Google Scholar,https://doi.org/10.1007/978-3-319-93372-6_22
Find Attention estimation using Transformer models,Transformer Uncertainty Estimation with Hierarchical Stochastic Attention,Google Scholar,https://doi.org/10.1609/aaai.v36i10.21364
Find Attention estimation using Transformer models,Self-Attention Transformer-Based Architecture for Remaining Useful Life Estimation of Complex Machines,Science Direct,https://doi.org/10.1016/j.procs.2022.12.241
Find Attention estimation using Transformer models,Shared Temporal Attention Transformer for Remaining Useful Lifetime Estimation,IEEE Xplore,https://doi.org/10.1109/ACCESS.2022.3187702
Find Attention estimation using Transformer models,Combining GCN Attention and Frequency Domain Analysis for 3D Human Pose Estimation,IEEE Xplore,https://doi.org/10.1109/BigData62323.2024.10825468
Find Attention estimation using Transformer models,Detecting and grouping keypoints for multi-person pose estimation using instance-aware attention,Science Direct,https://doi.org/10.1016/j.patcog.2022.109232
Find Attention estimation using Transformer models,Adaptive Vision Transformer for Event-Based Human Pose Estimation,ACM Digital Library,https://doi.org/10.1145/3664647.3681401
Find Attention estimation using Transformer models,Federated graph transformer with mixture attentions for secure graph knowledge fusions,Science Direct,https://doi.org/10.1016/j.inffus.2025.102954
Find Attention estimation using Transformer models,End-to-End Video Violence Detection with Transformer,IEEE Xplore,https://doi.org/10.1109/PRAI55851.2022.9904115
Find Attention estimation using Transformer models,Image recognition and age estimation based on the graph neural network,IEEE Xplore,https://doi.org/10.1109/ICISCAE59047.2023.10392551
Find Attention estimation using Transformer models,GBTTE: Graph Attention Network Based Bus Travel Time Estimation,ACM Digital Library,https://doi.org/10.1145/3583780.3614730
Find Attention estimation using Transformer models,Quantifying Attention Flow in Transformers,Google Scholar,https://doi.org/10.48550/arXiv.2005.00928
Attention prediction using AI/ML,Analysis of environmental factors using AI and ML methods,Google Scholar,https://doi.org/10.1038/s41598-022-16665-7
Attention prediction using AI/ML,"A Study of the Application of AI & ML to Climate Variation, with Particular Attention to Legal & Ethical Concerns",Google Scholar,https://doi.org/10.4108/eetiot.5468
Attention prediction using AI/ML,Student Performance Prediction Using AI-ML and Business Intelligence,IEEE Xplore,https://doi.org/10.1109/ICCUBEA61740.2024.10775223
Attention prediction using AI/ML,Comparing AI/ML approaches and classical regression for predictive modeling using large population health databases: Applications to COVID-19 case prediction,Science Direct,https://doi.org/10.1016/j.gloepi.2024.100168
Attention prediction using AI/ML,AI/ML-based Load Prediction in IEEE 802.11 Enterprise Networks,IEEE Xplore,https://doi.org/10.1109/ICMLCN59089.2024.10624775
Attention prediction using AI/ML,E-Learning Performance Prediction Based on Attention Mechanism,ACM Digital Library,https://doi.org/10.1145/3474995.3475020
Attention prediction using AI/ML,A Two-Stage Attention-Based Hierarchical Transformer for Turbofan Engine Remaining Useful Life Prediction,Google Scholar,https://doi.org/10.3390/s24030824
Attention prediction using AI/ML,Enhancing House Price Prediction Accuracy using Deep Learning and Hyperparameter Tuning with AEDA,IEEE Xplore,https://doi.org/10.1109/ICIIP61524.2023.10537786
AI in cognitive psychology,Cognitive psychology-based artificial intelligence review,gGoogle Scholar,https://doi.org/10.3389/fnins.2022.1024316
AI and ML method in cognitive psychology,A Systematic Literature Review of How to Treat Cognitive Psychology with Artificial Intelligence,gGoogle Scholar,https://doi.org/10.1007/978-981-99-3611-3_29
AI and ML method in cognitive psychology,AI-Powered Breakthroughs: Revolutionizing Cognitive Psychology and Neuropsychology With Machine Learning,gGoogle Scholar,http://doi.org/10.4018/979-8-3693-9341-3.ch003
AI and ML method in cognitive psychology,"Psychology Approach: Through AI, ML and
DL",gGoogle Scholar,https://www.researchgate.net/profile/Anuradha-Dhull-3/publication/359658767_Psychology_Approach_Through_AI_ML_and_DL/links/6274e0b63a23744a7267f2e0/Psychology-Approach-Through-AI-ML-and-DL.pdf
AI and ML method in cognitive psychology,Uses of Artificial Intelligence in Psychology ,gGoogle Scholar,http://doi.org/10.31014/aior.1994.05.04.242
AI and ML method in cognitive psychology,Comprehensive Detection and Analysis of Depression in Women Through Advanced Machine Learning Techniques,IEEE Xplore,http://doi.org/10.1109/ICTBIG64922.2024.10911370
AI and ML method in cognitive psychology,Proposed Computational Classification System of Human Cognitive Biases,IEEE Xplore,http://doi.org/10.1109/WI.2018.00013
AI and ML method in cognitive psychology,Cognitive Psychology Based Text Analysis Using Feature Extraction and Classification by Deep Learning Architectures for English Language Analysis,ACM Digital Library,https://doi.org/10.1145/3590150
AI and ML method in cognitive psychology,Information Processing for Low Resource Processing Based Cognitive Psychology for Second Language Teaching by Opinion Mining using Deep Learning Architecture,ACM Digital Library,https://doi.org/10.1145/3590151
AI and ML method in cognitive psychology,Generative Co-Learners: Enhancing Cognitive and Social Presence of Students in Asynchronous Learning with Generative AI,ACM Digital Library,https://doi.org/10.1145/3701198
AI and ML method in cognitive psychology,Predictive Modelling of Cognitive Workload in VR: An Eye-Tracking Approach,ACM Digital Library,https://doi.org/10.1145/3649902.3655642
AI and ML method in cognitive psychology,PsyChatbot: A Psychological Counseling Agent Towards Depressed Chinese Population Based on Cognitive Behavioural Therapy,ACM Digital Library,https://doi.org/10.1145/3676962
AI and ML method in cognitive psychology,A practical applications guide to machine learning regression models in psychology with Python,ScienceDirect,https://doi.org/10.1016/j.metip.2024.100156
AI and ML method in cognitive psychology,Impact of AI-focussed technologies on social and technical competencies for HR managers � A systematic review and research agenda,ScienceDirect,https://doi.org/10.1016/j.techfore.2024.123301
AI and ML method in cognitive psychology,A new era in cognitive neuroscience: the tidal wave of artificial intelligence (AI),PubMed,http://doi.org/10.1186/s12868-024-00869-w
Machine learning for cognitive load estimation,ADABase: A Multimodal Dataset for Cognitive Load Estimation,gGoogle Scholar,https://doi.org/10.3390/s23010340
Machine learning for cognitive load estimation,Classification of EEG Signals for Cognitive Load Estimation Using Deep Learning Architectures,gGoogle Scholar,https://doi.org/10.1007/978-3-030-04021-5_6
Machine learning for cognitive load estimation,Cognitive Load Monitoring With Wearables�Lessons Learned From a Machine Learning Challenge,gGoogle Scholar,http://doi.org/10.1109/ACCESS.2021.3093216
Machine learning for cognitive load estimation,Cognitive Load Estimation Using a Hybrid Cluster-Based Unsupervised Machine Learning Technique,gGoogle Scholar,http://doi.org/10.1109/ACCESS.2024.3428691
Machine learning for cognitive load estimation,Cognitive workload level estimation based on eye tracking: A machine learning approach,gGoogle Scholar,http://doi.org/10.1109/BIBE52308.2021.9635166
Machine learning for cognitive load estimation,ML-Driven Cognitive Workload Estimation in a VR-based Sustained Attention Task*, IEEE Xplore,http://doi.org/10.1109/ISMAR-Adjunct64951.2024.00160
Machine learning for cognitive load estimation,Evaluating the performance of machine learning models for energy load prediction in residential HVAC systems,ScienceDirect,https://doi.org/10.1016/j.enbuild.2025.115517
Machine learning for cognitive load estimation,A machine learning-based decision support system for temporal human cognitive state estimation during online education using wearable physiological monitoring devices,ScienceDirect,https://doi.org/10.1016/j.dajour.2023.100280
AI and attention span detection,"Speed Reading Tool Powered by Artificial Intelligence for Students with ADHD, Dyslexia, or Short Attention Span",gGoogle Scholar,https://doi.org/10.48550/arXiv.2307.14544
AI and attention span detection,"A Study on Automatic Attention Span Detection of
Students",gGoogle Scholar,https://doi.org/10.22214/ijraset.2021.34707
AI and attention span detection,Analysis of Attention Span of Students using Deep Learning,gGoogle Scholar,http://doi.org/10.1109/MITADTSoCiCon60330.2024.10575321
AI and attention span detection,Attention Span Detection for Online Lectures,gGoogle Scholar,http://doi.org/10.1109/ICACC-202152719.2021.9708082
AI and attention span detection,"Real-time Attention Span Tracking in Online Education
",gGoogle Scholar,http://doi.org/10.1109/URTC51696.2020.9668900
AI and attention span detection,Student�s Attention and Alertness Monitoring System using AI, IEEE Xplore,http://doi.org/10.1109/MITADTSoCiCon60330.2024.10575441
AI based attention and focus assessment,Artificial Intelligence-based System for Detecting Attention Levels in Students,gGoogle Scholar,http://doi.org/10.3791/65931
AI based attention and focus assessment,Comparative Study of AI-Based Approaches to Measuring Student Attention: Towards an Affordable and Effective Method,gGoogle Scholar,https://doi.org/10.1007/978-3-031-74474-7_4
AI based attention and focus assessment,EDUSENSE-AI: AI-POWERED ATTENTION AND EMOTION ANALYSIS FOR DIGITAL EDUCATION,gGoogle Scholar,http://doi.org/10.21125/iceri.2024.1550
Software tools for attention and focus assesment,"Processes and ICT Tools for ADHD Assessment,
Intervention and Attention Training",Google Scholar,http://dx.doi.org/10.3991/ijet.v9i6.4001
Software tools for attention and focus assesment,Shifting Attention: Using Learning Self-Assessment Tools during Initial Coursework to Focus Teacher Candidates on Student Learning,Google Scholar,https://www.jstor.org/stable/teaceducquar.40.4.111
Software tools for attention and focus assesment,Focus: Design and Evaluation of a Software Tool for Collecting Reader Feedback,Google Scholar,https://doi.org/10.1207/s15427625tcq1004_2
Software tools for attention and focus assesment,A dynamic attention assessment and enhancement tool using computer graphics,Google Scholar,http://doi.org/10.1186/s13673-014-0011-0
Software tools for attention and focus assesment,"Tools and E-tools for Memory and Attention
Problems in Pre-school Education",Google Scholar,http://dx.doi.org/10.3991/ijes.v3i3.4729
Software tools for attention and focus assesment,"Effectiveness of Assessment, Diagnostic and Intervention
ICT Tools for Children and Adolescents with ADHD ",Google Scholar,https://doi.org/10.3991/ijes.v7i3.11178
Digital methods for cognitive load measurement,"A comparison of four methods for cognitive load measurement
",Google Scholar,https://doi.org/10.1145/2071536.2071547
Digital methods for cognitive load measurement,Understanding Cognitive Load in Digital and Online Learning: a New Perspective on Extraneous Cognitive Load,Google Scholar,https://doi.org/10.1007/s10648-021-09624-7
Digital methods for cognitive load measurement,Subjective cognitive load surveys lead to divergent results for interactive learning media,Google Scholar,https://doi.org/10.1002/hbe2.184
Digital methods for cognitive load measurement,Measuring cognitive load in the presence of educational video: Towards a multimodal methodology,Google Scholar,https://doi.org/10.14742/ajet.3084
Digital methods for cognitive load measurement,Research on User Cognitive Load Measurement System in Interface Design,IEEE Xplore,http://doi.org/10.1109/ICIDDT52279.2020.00105
Digital methods for cognitive load measurement,Cognitive Load Detection on Drivers by Pupillary Analysis,IEEE Xplore,http://doi.org/10.1109/CONECCT50063.2020.9198441
Digital methods for cognitive load measurement,A Deep Learning Technique for Real-Time Detection of Cognitive Load Using Optimal Number of EEG Electrodes,IEEE Xplore,http://doi.org/10.1109/TIM.2024.3509604
Digital methods for cognitive load measurement,Cognitive Load Measurement with Physiological Sensors in Virtual Reality during Physical Activity,ACM Digital Library,https://doi.org/10.1145/3611659.3615704
Digital methods for cognitive load measurement,PlayMeBack - Cognitive Load Measurement using Different Physiological Cues in a VR Game,ACM Digital Library,https://doi.org/10.1145/3562939.3565648
Digital methods for cognitive load measurement,Cognitive load measurement during navigation and information retrieval in digital text,ScienceDirect,https://doi.org/10.1016/j.procs.2021.09.042
Sensor based mental health and focus and attention issues,Sensing Technologies for Monitoring Serious Mental Illnesses,Google Scholar,http://doi.org/10.1109/MMUL.2018.011921236
Sensor based mental health and focus and attention issues,Attention-Block Deep Learning Based Features Fusion in Wearable Social Sensor for Mental Wellbeing Evaluations,Google Scholar,http://doi.org/10.1109/ACCESS.2020.2994124
Sensor based mental health and focus and attention issues,Integration of Sensor-Based Technology in Mental Healthcare: A Systematic Scoping Review,Google Scholar,https://doi.org/10.1007/s41347-024-00427-5
Sensor based mental health and focus and attention issues,Common Mental Disorders in Smart City Settings and Use of Multimodal Medical Sensor Fusion to Detect Them,Google Scholar,https://doi.org/10.3390/diagnostics13061082
Sensor based mental health and focus and attention issues,Mental Health Monitoring System using Artificial Intelligence: A Review,IEEE Xplore,http://doi.org/10.1109/I2CT45611.2019.9033652
Sensor based mental health and focus and attention issues,Depression Detection Using BERT on Social Media Platforms,IEEE Xplore,?http://doi.org/10.1109/IICAIET62352.2024.10730329
Sensor based mental health and focus and attention issues,An Extensive Survey on Recent Advancements in Human Stress Level Detection Systems,IEEE Xplore,http://doi.org/10.1109/ICECA55336.2022.10009334
Sensor based mental health and focus and attention issues,MHDeep: Mental Health Disorder Detection System Based on Wearable Sensors and Artificial Neural Networks,ACM Digital Library,https://doi.org/10.1145/3527170
Technology supported attention and mental health evaluation,Technology and Mental Health: State of the Art for Assessment and Treatment,Google Scholar,https://doi.org/10.1176/appi.ajp.21121254
Technology supported attention and mental health evaluation,Mobile technology for mental health assessment,Google Scholar,https://doi.org/10.31887/DCNS.2016.18.2/parean
Technology supported attention and mental health evaluation,Design and evaluation guidelines for mental health technologies,Google Scholar,http://doi.org/10.1016/j.intcom.2010.02.006
Technology supported attention and mental health evaluation,iCare: Harnessing AI and Emotional Intelligence to Revolutionize Accessible Mental Health Support,IEEE Xplore,?http://doi.org/10.1109/ICERCS63125.2024.10895094
AI for attention span analysis on social media,"Decrease In Attention Span Due To Short-Format
Content on Social Media","Google Scholar
",http://mahratta.org/CurrIssue/November_2024/1.%20Decrease%20in%20attention%20span%20due%20to%20short%20format%20content%20on%20Social%20Media%20_Marathe_Kanage.pdf
AI for attention span analysis on social media,"The impact of digital technology, social media, and artificial intelligence on cognitive functions: a review",Google Scholar,https://doi.org/10.3389/fcogn.2023.1203077
AI for attention span analysis on social media,Attention Span and Tech Autonomy as Moral Goods and Societal Necessities,Google Scholar,https://doi.org/10.1007/s44206-023-00053-3
AI for attention span analysis on social media,Attention Span Prediction Using Head-Pose Estimation With Deep Neural Networks,Google Scholar,http://doi.org/10.1109/ACCESS.2021.3120098
AI for attention span analysis on social media,"Impact of Short Reels on Attention Span and Academic Performance of Undergraduate Students
",Google Scholar,https://eric.ed.gov/?id=EJ1454296
AI for attention span analysis on social media,AI for Analyzing Mental Health Disorders Among Social Media Users: Quarter-Century Narrative Review of Progress and Challenges,ScienceDirect,https://doi.org/10.2196/59225
AI attention detection in app usage,"Early Detection of Preschool Children with ADHD and the Role of Mobile Apps and AI
",Google Scholar,https://doi.org/10.47577/tssj.v30i1.6266
https://meet.google.com/wdw-mejo-svc,"Artificial intelligence tool for attention detection to be used in Neuromarketing

",Google Scholar,http://webthesis.biblio.polito.it/id/eprint/29009
AI attention detection in app usage,Utilizing artificial intelligence-based eye tracking technology for screening ADHD symptoms in children,Google Scholar,https://doi.org/10.3389/fpsyt.2023.1260031
AI attention detection in app usage,Early Detection of Attention Deficiency Using ML,Google Scholar,http://doi.org/10.5281/zenodo.8019323
AI attention detection in app usage,"Recent Advances of Artificial Intelligence Tools in Attention-Deficit Hyperactivity Disorder (ADHD)
",Google Scholar,https://doi.org/10.2174/2211556011666220607112528
AI attention detection in app usage,Artificial intelligence-assisted smartphone-based sensing for bioanalytical applications: A review,Google Scholar,https://doi.org/10.1016/j.bios.2023.115233
AI attention detection in app usage,The impact of artificial intelligence on managerial attention allocation for discontinuous change: a conceptual framework,Google Scholar,https://doi.org/10.1007/s11301-024-00409-0
AI + attention + focus + assessment + digital,Prospective applications of artificial intelligence (AI) to enhance consistent attention in first-year undergraduate students in the education sector,Google Scholar,https://doi.org/10.1049/icp.2024.4414
AI + attention + focus + assessment + digital,The use of artificial intelligence during the educational process for students with attention deficit and hyperactivity disorder,Google Scholar,http://doi.org/10.30574/wjbphs.2023.16.2.0459
AI + attention + focus + assessment + digital,"The Digital Attention Heuristics: Supporting the User�s Attention by Design
","ACM Digital Library
",https://doi.org/10.1145/3725215
Machine learning for smartphone distraction detection,Detection of Driver Cognitive Distraction Using Machine Learning Methods,Google Scholar,http://doi.org/10.1109/ACCESS.2023.3245122
Machine learning for smartphone distraction detection,"Detecting and recognizing driver distraction through various data modality using machine learning: A review, recent advances, simplified framework and open challenges (2014�2021)",Google Scholar,https://doi.org/10.1016/j.engappai.2022.105309
Machine learning for smartphone distraction detection,"Application of Machine Learning Techniques to Predict the Occurrence of Distraction-affected Crashes with Phone-Use Data
",Google Scholar,https://doi.org/10.1177/03611981211045371
Machine learning for smartphone distraction detection,A Deep Learning Approach to Driver Distraction Detection of Using Mobile Phone,Google Scholar,"http://doi.org/10.1109/VPPC46532.2019.8952455
"
Machine learning for smartphone distraction detection,Driver distraction detection using machine learning techniques,Google Scholar,https://doi.org/10.1016/j.matpr.2022.02.108
Machine learning for smartphone distraction detection,"Darnet: a deep learning solution for distracted driving detection
",Google Scholar,https://doi.org/10.1145/3154448.3154452
Machine learning for smartphone distraction detection,Neural Networks for the Detection of Distractions in Drivers,IEEE Xplore,http://doi.org/10.1109/COMRob60035.2023.10349775
Using smartphone impact on attention,"Media Multitasking, Attention and News Evaluation",IEEE Xplore,https://doi.org/10.1109/EITT.2019.00043
Using smartphone impact on attention,Real-Time Attention Monitoring Using Smart Wearable for ADHD Patients,IEEE Xplore,https://doi.org/10.1109/ICDSNS58469.2023.10245407
Using smartphone impact on attention,Early Prediction of Attention Deficit Hyperactivity Disorder among Children's Using Support Vector Machine over the Linear Regression Algorithm for Better Accuracy,IEEE Xplore,https://doi.org/10.1109/ICKECS56523.2022.10060825
Using smartphone impact on attention,The impact of smartphone deprivation on attentional bias in problematic smartphone users: Evidence from behavioral and physiological perspectives,Science Direct,https://doi.org/10.1016/j.chb.2024.108412
Using smartphone impact on attention,The Effect of Smartphone Addiction on Attention Level in High School Students,Google Scholar,https://doi.org/10.51982/bagimli.1118921
Using smartphone impact on attention,"The relative impact of smartwatch and smartphone use while driving on workload, attention, and driving performance",PubMed,https://doi.org/10.1016/j.apergo.2018.09.001
Using smartphone impact on attention,Predicting Users Attention Breakpoints During Mobile Text Entry,ACM Digital Library,https://doi.org/10.1145/3565066.3608747
Using smartphone impact on attention,The Effects of Spontaneous Use of Smartphone on the Attention and Emotions of Millennials Students in a Classroom,Google Scholar,https://doi.org/10.30560/ilr.v2n2p42
Facing attention issues in digital age,Onlife Attention: Attention in the Digital Age,Google Scholar,https://doi.org/10.1007/978-3-030-24143-8_4
Facing attention issues in digital age,Smart and Digital Healthcare. Advanced Technologies and Security Issues,ACM Digital Library,https://doi.org/10.1145/3670243.3673857
Facing attention issues in digital age,From face-to-face to screen-to-screen: exploring the multifaceted dimensions of digital mental health care,PubMed,https://doi.org/10.3389/fpsyt.2024.1413127
Facing attention issues in digital age,A Time-Distributed CNN-LSTM with Attention Model for Speech Based Emotion Recognition,ACM Digital Library,https://doi.org/10.1145/3705927.3705939
Facing attention issues in digital age,"Assessing the Uses, Benefits, and Limitations of Digital Technologies Used by Health Professionals in Supporting Obesity and Mental Health Communication: Scoping Review",Science Direct,https://doi.org/10.2196/58434
Facing attention issues in digital age,Are You Paying Attention? Multimodal Linear Attention Transformers for Affect Prediction in Video Conversations,ACM Digital Library,https://doi.org/10.1145/3689092.3689409
Facing attention issues in digital age,Improving Students' Understanding of Education Using Generative Adversarial Networks: Bridging Text and Visuals,IEEE Xplore,https://doi.org/10.1109/CSITSS64042.2024.10816998
Facing attention issues in digital age,Research article Engagement in the digital age: Understanding what works for participatory technologies in environmental decision-making ,Science Direct,https://doi.org/10.1016/j.jenvman.2024.121365
Facing attention issues in digital age,"Online public opinion attention, digital transformation, and green investment: A deep learning model based on artificial intelligence",Science Direct,https://doi.org/10.1016/j.jenvman.2024.123294
Attention along with technology span issues,Accelerating the future of audit technologies: Introducing the special issue and emphasizing future research directions,Science Direct,https://doi.org/10.1016/j.accinf.2025.100740
Attention along with technology span issues,Research on Commercial Vehicle Replacement Prediction Model Based on Improved Attention Mechanism,ACM Digital Library,https://doi.org/10.1145/3701100.3701107
Attention along with technology span issues,Technology and Digital Media's Impact on Attention Span in Teenagers and Young Adults,Google Scholar,https://dx.doi.org/10.2139/ssrn.4872178
Attention along with technology span issues,"Generative AI for Transformative Healthcare: A Comprehensive Study of Emerging Models, Applications, Case Studies, and Limitations",IEEE Xplore,https://doi.org/10.1109/ACCESS.2024.3367715
Attention along with technology span issues,A Span-based Multi-Modal Attention Network for joint entity-relation extraction,Science Direct,https://doi.org/10.1016/j.knosys.2022.110228
Attention along with technology span issues,Investigating Attention and Normative Dissociation in Children's Social Video Games,ACM Digital Library,https://doi.org/10.1145/3628516.3655808
Attention along with technology span issues,Attention Span and it's Correlation with Mental Health,IEEE Xplore,https://doi.org/10.1109/ICAET63349.2025.10932208
Attention along with technology span issues,Students with Attention-Deficit/Hyperactivity Disorder and Utilizing Virtual Reality to Improve Driving Skills,ACM Digital Library,https://doi.org/10.1145/3626485.3626529
Attention along with technology span issues,Extending Attention Span for Children ADHD Using an Attentive Visual Interface,IEEE Xplore,https://doi.org/10.1109/iV.2018.00041
