Search Term,Paper Title,Database,DOI link
Student engagement prediction using Machine Learning,Application of Deep Learning on Student Engagement in e-learning environments,Science Direct,https://doi.org/10.1016/j.compeleceng.2021.107277
Student engagement prediction using Machine Learning,Utilizing early engagement and machine learning to predict student outcomes,Science Direct,https://doi.org/10.1016/j.compedu.2018.12.006
Student engagement prediction using Machine Learning,Dyslexia Adaptive Learning Model: Student Engagement Prediction Using Machine Learning Approach,Google Scholar,https://doi.org/10.1007/978-3-319-72550-5_36
Assessing attention in MOOCs using artificial intelligence,Research on the big data analysis of MOOCs in a flipped classroom based on attention mechanism in deep learning model,Google Scholar,https://doi.org/10.1002/cae.22678
Assessing attention in MOOCs using artificial intelligence,Artificial Intelligence Empowers Gamification: Optimizing Student Engagement and Learning Outcomes in E-learning and MOOCs.,Google Scholar,https://doi.org/10.3991/ijep.v13i8.40853
AI detection of ADHD,Machine and Deep Learning Algorithms for ADHD Detection: A Review,Google Scholar,https://doi.org/10.1007/978-3-031-40688-1_8
AI detection of ADHD,Machine Learning in ADHD and Depression Mental Health Diagnosis: A Survey,Google Scholar,http://doi.org/10.1109/ACCESS.2023.3304236
AI detection of ADHD,Machine Learning and ADHD Mental Health Detection - A Short Survey,IEEE Xplore,http://doi.org/10.23919/FUSION49751.2022.9841277
AI detection of ADHD,Detecting Brain activity in ADHD children and healthy controls using Machine Learning Techniques,ACM Digital Library,https://doi.org/10.1145/3641142.3641156
AI detection of ADHD,Insight into ADHD diagnosis with deep learning on Actimetry: Quantitative interpretation of occlusion maps in age and gender subgroups,ScienceDirect,https://doi.org/10.1016/j.artmed.2023.102630
AI detection of ADHD,Exploring potential ADHD biomarkers through advanced machine learning: An examination of audiovisual integration networks,ScienceDirect,https://doi.org/10.1016/j.compbiomed.2024.109240
AI detection of ADHD,Development of an innovative approach using portable eye tracking to assist ADHD screening: a machine learning study,PubMed,http://doi.org/10.3389/fpsyt.2024.1337595
Machine learning for attention disorders,Machine learning in attention-deficit/hyperactivity disorder: new approaches toward understanding the neural mechanisms,Google Scholar,https://doi.org/10.1038/s41398-023-02536-w
Machine learning for attention disorders,Machine Learning Methods for Diagnosing Autism Spectrum Disorder and Attention- Deficit/Hyperactivity Disorder Using Functional and Structural MRI: A Survey,Google Scholar,https://doi.org/10.3389/fninf.2020.575999
Machine learning for attention disorders,Automatic Diagnosis of Attention Deficit Hyperactivity Disorder Using Machine Learning,Google Scholar,https://doi.org/10.1080/08839514.2021.1933761
Machine learning for attention disorders,A Machine Learning-Based Analysis of Game Data for Attention Deficit Hyperactivity Disorder Assessment,Google Scholar,https://doi.org/10.1089/g4h.2013.0058
Machine learning for attention disorders,"Machine Learning Techniques for the Diagnosis of Attention-Deficit/Hyperactivity Disorder from Magnetic Resonance Imaging
",Google Scholar,http://doi.org/10.4103/0028-3886.333520
Machine learning for attention disorders,Towards interpretable machine learning models for diagnosis aid: A case study on attention deficit/hyperactivity disorder,Google Scholar,https://doi.org/10.1371/journal.pone.0215720
Machine learning for attention disorders,Machine learning models effectively distinguish attention-deficit/hyperactivity disorder using event-related potentials,Google Scholar,https://doi.org/10.1007/s11571-021-09746-2
Machine learning for attention disorders,Machine learning-enabled detection of attention-deficit/hyperactivity disorder with multimodal physiological data: a case-control study,Google Scholar,https://doi.org/10.1186/s12888-024-05987-7
Machine learning for attention disorders,Assessment of the Autism Spectrum Disorder Based on Machine Learning and Social Visual Attention: A Systematic Review,Google Scholar,https://doi.org/10.1007/s10803-021-05106-5
Machine learning for attention disorders,Machine-learning-based diagnosis of drug-naive adult patients with attention-deficit hyperactivity disorder using mismatch negativity,Google Scholar,https://doi.org/10.1038/s41398-021-01604-3
Machine learning for attention disorders,Regional Contribution in Electrophysiological-Based Classifications of Attention Deficit Hyperactive Disorder (ADHD) Using Machine Learning,Google Scholar,https://doi.org/10.3390/computation11090180
Machine learning for attention disorders,A systematic review on the application of machine learning models in psychometric questionnaires for the diagnosis of attention deficit hyperactivity disorder,Google Scholar,https://doi.org/10.1111/ejn.16288
Machine learning for attention disorders,Evidence for similar structural brain anomalies in youth and adult attention-deficit/hyperactivity disorder: a machine learning analysis,Google Scholar,https://doi.org/10.1038/s41398-021-01201-4
Machine learning for attention disorders,Identification of attention deficit hyperactivity disorder with deep learning model,Google Scholar,https://doi.org/10.1007/s13246-023-01275-y
Machine learning for attention disorders,"Early detection of paediatric and adolescent obsessive�compulsive, separation anxiety and attention deficit hyperactivity disorder using machine learning algorithms",Google Scholar,https://doi.org/10.1007/s13755-023-00232-z
Machine learning for attention disorders,"Comparison of Machine Learning predictive methods to diagnose the Attention Deficit/Hyperactivity Disorder levels using SPECT
",Google Scholar,https://doi.org/10.33448/rsd-v11i8.31258
Machine learning for attention disorders,A Review of Machine Learning and Deep Learning Approaches on Mental Health Diagnosis,Google Scholar,https://doi.org/10.3390/healthcare11030285
Machine learning for attention disorders,Leveraging Machine Learning to Identify Predictors of Receiving Psychosocial Treatment for Attention Deficit/Hyperactivity Disorder,Google Scholar,https://doi.org/10.1007/s10488-020-01045-y
Machine learning for attention disorders,"Machine Learning Prediction of ADHD Severity: Association and Linkage to ADGRL3, DRD4, and SNAP25
 ",Google Scholar,https://doi.org/10.1177/10870547211015426
Machine learning for attention disorders,"Prediction of Attention Deficit Hyperactivity Disorder Using Machine Learning Models
",IEEE Xplore,https://doi.org/10.1109/AIIoT58432.2024.10574571
Machine learning for attention disorders,Classification of Attention Deficit Hyperactivity Disorder using Machine Learning,IEEE Xplore,http://doi.org/10.1109/FABS52071.2021.9702614
Machine learning for attention disorders,Comprehensive Analysis of Attention Deficit/Hyperactivity Disorder using Machine Learning and Deep Learning Algorithms,IEEE Xplore,http://doi.org/10.1109/tccn.2024.3431889
Machine learning for attention disorders,Prediction of Attention Deficit Hyperactivity Disorder (ADHD) using machine learning Techniques based on classification of EEG signal,IEEE Xplore,http://doi.org/10.1109/ICACCS54159.2022.9785356
Machine learning for attention disorders,Predictive Analysis of Autism Spectrum Disorder (ASD) using Machine Learning,IEEE Xplore,https://doi.org/10.1109/FIT53504.2021.00063
Machine learning for attention disorders,A Review of Mental Health Analysis Through Social Media Using Machine Learning and Deep Learning Approaches,IEEE Xplore,https://doi.org/10.1109/ICECT61618.2024.10581373
Machine learning for attention disorders,A Machine Learning-Based Monitoring System for Attention and Stress Detection for Children with Autism Spectrum Disorders,"ACM Digital Library
",https://doi.org/10.1145/3484377.3484381
Machine learning for attention disorders,A systematic literature review of machine learning techniques for the detection of attention-deficit/hyperactivity disorder using MRI and/or EEG data,ScienceDirect,https://doi.org/10.1016/j.neuroscience.2025.02.019
Machine learning for attention disorders,Machine-learning-based feature selection to identify attention-deficit hyperactivity disorder using whole-brain white matter microstructure: A longitudinal study,ScienceDirect,https://doi.org/10.1016/j.ajp.2024.104087
Machine learning for attention disorders,"Developing a machine learning model for detecting depression, anxiety, and apathy in older adults with mild cognitive impairment using speech and facial expressions: A cross-sectional observational study",PubMed,http://doi.org/10.1016/j.ijnurstu.2023.104562
